2013-06-18 21:30:52,133 [Worker-5] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|http://repo.maven.apache.org/maven2
2013-06-18 21:30:52,273 [Worker-5] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2013-06-18 21:30:55,838 [Worker-5] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updated index for repository: central|http://repo.maven.apache.org/maven2 in 3709 ms
2013-06-18 21:31:00,089 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: freematador:freematador:0.0.1-SNAPSHOT @ /home/leonardo/workspaces/freematador/elsubonlineWeb/pom.xml.
2013-06-18 21:31:06,532 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: freematador:freematador:0.0.1-SNAPSHOT @ /home/leonardo/workspaces/freematador/elsubonlineWeb/pom.xml.
2013-06-18 21:31:07,100 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-06-18 21:31:07,100 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/leonardo/workspaces/freematador/elsubonlineWeb/src/main/resources
2013-06-18 21:31:07,104 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-06-18 21:31:07,104 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/leonardo/workspaces/freematador/elsubonlineWeb/src/test/resources
2013-06-18 21:31:24,337 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for elsubonlineWeb
2013-06-18 21:31:25,027 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: freematador:freematador:0.0.1-SNAPSHOT @ /home/leonardo/workspaces/freematador/elsubonlineWeb/pom.xml.
2013-06-18 21:31:25,731 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-06-18 21:31:25,731 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/leonardo/workspaces/freematador/elsubonlineWeb/src/main/resources
2013-06-18 21:31:25,733 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-06-18 21:31:25,733 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/leonardo/workspaces/freematador/elsubonlineWeb/src/test/resources
